holiday_description,state,date
New Year's Day,CT,2020-01-01
Martin Luther King Jr. Day,CT,2020-01-20
Lincoln's Birthday,CT,2020-02-12
Washington's Birthday,CT,2020-02-17
Good Friday,CT,2020-04-10
Memorial Day,CT,2020-05-25
Independence Day (Observed),CT,2020-07-03
Independence Day,CT,2020-07-04
Labor Day,CT,2020-09-07
Columbus Day,CT,2020-10-12
Veterans Day,CT,2020-11-11
Thanksgiving,CT,2020-11-26
Christmas Day,CT,2020-12-25
New Year's Day,DC,2013-01-01
Inauguration Day,DC,2013-01-20
"Martin Luther King Jr. Day, Inauguration Day (Observed)",DC,2013-01-21
Washington's Birthday,DC,2013-02-18
Emancipation Day,DC,2013-04-16
Memorial Day,DC,2013-05-27
Independence Day,DC,2013-07-04
Labor Day,DC,2013-09-02
Columbus Day,DC,2013-10-14
Veterans Day,DC,2013-11-11
Thanksgiving,DC,2013-11-28
Christmas Day,DC,2013-12-25
New Year's Day,DC,2014-01-01
Martin Luther King Jr. Day,DC,2014-01-20
Washington's Birthday,DC,2014-02-17
Emancipation Day,DC,2014-04-16
Memorial Day,DC,2014-05-26
Independence Day,DC,2014-07-04
Labor Day,DC,2014-09-01
Columbus Day,DC,2014-10-13
Veterans Day,DC,2014-11-11
Thanksgiving,DC,2014-11-27
Christmas Day,DC,2014-12-25
New Year's Day,DC,2015-01-01
Martin Luther King Jr. Day,DC,2015-01-19
Washington's Birthday,DC,2015-02-16
Emancipation Day,DC,2015-04-16
Memorial Day,DC,2015-05-25
Independence Day (Observed),DC,2015-07-03
Independence Day,DC,2015-07-04
Labor Day,DC,2015-09-07
Columbus Day,DC,2015-10-12
Veterans Day,DC,2015-11-11
Thanksgiving,DC,2015-11-26
Christmas Day,DC,2015-12-25
New Year's Day,DC,2016-01-01
Martin Luther King Jr. Day,DC,2016-01-18
Washington's Birthday,DC,2016-02-15
Emancipation Day (Observed),DC,2016-04-15
Emancipation Day,DC,2016-04-16
Memorial Day,DC,2016-05-30
Independence Day,DC,2016-07-04
Labor Day,DC,2016-09-05
Columbus Day,DC,2016-10-10
Veterans Day,DC,2016-11-11
Thanksgiving,DC,2016-11-24
Christmas Day,DC,2016-12-25
Christmas Day (Observed),DC,2016-12-26
New Year's Day,DC,2017-01-01
New Year's Day (Observed),DC,2017-01-02
Martin Luther King Jr. Day,DC,2017-01-16
Inauguration Day,DC,2017-01-20
Washington's Birthday,DC,2017-02-20
Emancipation Day,DC,2017-04-16
Emancipation Day (Observed),DC,2017-04-17
Memorial Day,DC,2017-05-29
Independence Day,DC,2017-07-04
Labor Day,DC,2017-09-04
Columbus Day,DC,2017-10-09
Veterans Day (Observed),DC,2017-11-10
Veterans Day,DC,2017-11-11
Thanksgiving,DC,2017-11-23
Christmas Day,DC,2017-12-25
New Year's Day,DC,2018-01-01
Martin Luther King Jr. Day,DC,2018-01-15
Washington's Birthday,DC,2018-02-19
Emancipation Day,DC,2018-04-16
Memorial Day,DC,2018-05-28
Independence Day,DC,2018-07-04
Labor Day,DC,2018-09-03
Columbus Day,DC,2018-10-08
Veterans Day,DC,2018-11-11
Veterans Day (Observed),DC,2018-11-12
Thanksgiving,DC,2018-11-22
Christmas Day,DC,2018-12-25
New Year's Day,DC,2019-01-01
Martin Luther King Jr. Day,DC,2019-01-21
Washington's Birthday,DC,2019-02-18
Emancipation Day,DC,2019-04-16
Memorial Day,DC,2019-05-27
Independence Day,DC,2019-07-04
Labor Day,DC,2019-09-02
Columbus Day,DC,2019-10-14
Veterans Day,DC,2019-11-11
Thanksgiving,DC,2019-11-28
Christmas Day,DC,2019-12-25
New Year's Day,DC,2020-01-01
Martin Luther King Jr. Day,DC,2020-01-20
Washington's Birthday,DC,2020-02-17
Emancipation Day,DC,2020-04-16
Memorial Day,DC,2020-05-25
Independence Day (Observed),DC,2020-07-03
Independence Day,DC,2020-07-04
Labor Day,DC,2020-09-07
Columbus Day,DC,2020-10-12
Veterans Day,DC,2020-11-11
Thanksgiving,DC,2020-11-26
Christmas Day,DC,2020-12-25
New Year's Day,DE,2013-01-01
Martin Luther King Jr. Day,DE,2013-01-21
Good Friday,DE,2013-03-29
Memorial Day,DE,2013-05-27
Independence Day,DE,2013-07-04
Labor Day,DE,2013-09-02
Veterans Day,DE,2013-11-11
Thanksgiving,DE,2013-11-28
Day After Thanksgiving,DE,2013-11-29
Christmas Day,DE,2013-12-25
New Year's Day,DE,2014-01-01
Martin Luther King Jr. Day,DE,2014-01-20
Good Friday,DE,2014-04-18
Memorial Day,DE,2014-05-26
Independence Day,DE,2014-07-04
Labor Day,DE,2014-09-01
Election Day,DE,2014-11-04
Veterans Day,DE,2014-11-11
Thanksgiving,DE,2014-11-27
Day After Thanksgiving,DE,2014-11-28
Christmas Day,DE,2014-12-25
New Year's Day,DE,2015-01-01
Martin Luther King Jr. Day,DE,2015-01-19
Good Friday,DE,2015-04-03
Memorial Day,DE,2015-05-25
Independence Day (Observed),DE,2015-07-03
Independence Day,DE,2015-07-04
Labor Day,DE,2015-09-07
Veterans Day,DE,2015-11-11
Thanksgiving,DE,2015-11-26
Day After Thanksgiving,DE,2015-11-27
Christmas Day,DE,2015-12-25
New Year's Day,DE,2016-01-01
Martin Luther King Jr. Day,DE,2016-01-18
Good Friday,DE,2016-03-25
Memorial Day,DE,2016-05-30
Independence Day,DE,2016-07-04
Labor Day,DE,2016-09-05
Election Day,DE,2016-11-08
Veterans Day,DE,2016-11-11
Thanksgiving,DE,2016-11-24
Day After Thanksgiving,DE,2016-11-25
Christmas Day,DE,2016-12-25
Christmas Day (Observed),DE,2016-12-26
New Year's Day,DE,2017-01-01
New Year's Day (Observed),DE,2017-01-02
Martin Luther King Jr. Day,DE,2017-01-16
Good Friday,DE,2017-04-14
Memorial Day,DE,2017-05-29
Independence Day,DE,2017-07-04
Labor Day,DE,2017-09-04
Veterans Day (Observed),DE,2017-11-10
Veterans Day,DE,2017-11-11
Thanksgiving,DE,2017-11-23
Day After Thanksgiving,DE,2017-11-24
Christmas Day,DE,2017-12-25
New Year's Day,DE,2018-01-01
Martin Luther King Jr. Day,DE,2018-01-15
Good Friday,DE,2018-03-30
Memorial Day,DE,2018-05-28
Independence Day,DE,2018-07-04
Labor Day,DE,2018-09-03
Election Day,DE,2018-11-06
Veterans Day,DE,2018-11-11
Veterans Day (Observed),DE,2018-11-12
Thanksgiving,DE,2018-11-22
Day After Thanksgiving,DE,2018-11-23
Christmas Day,DE,2018-12-25
New Year's Day,DE,2019-01-01
Martin Luther King Jr. Day,DE,2019-01-21
Good Friday,DE,2019-04-19
Memorial Day,DE,2019-05-27
Independence Day,DE,2019-07-04
Labor Day,DE,2019-09-02
Veterans Day,DE,2019-11-11
Thanksgiving,DE,2019-11-28
Day After Thanksgiving,DE,2019-11-29
Christmas Day,DE,2019-12-25
New Year's Day,DE,2020-01-01
Martin Luther King Jr. Day,DE,2020-01-20
Good Friday,DE,2020-04-10
Memorial Day,DE,2020-05-25
Independence Day (Observed),DE,2020-07-03
Independence Day,DE,2020-07-04
Labor Day,DE,2020-09-07
Election Day,DE,2020-11-03
Veterans Day,DE,2020-11-11
Thanksgiving,DE,2020-11-26
Day After Thanksgiving,DE,2020-11-27
Christmas Day,DE,2020-12-25
New Year's Day,FL,2013-01-01
Martin Luther King Jr. Day,FL,2013-01-21
Susan B. Anthony Day,FL,2013-02-15
Memorial Day,FL,2013-05-27
Independence Day,FL,2013-07-04
Labor Day,FL,2013-09-02
Veterans Day,FL,2013-11-11
Thanksgiving,FL,2013-11-28
Friday After Thanksgiving,FL,2013-11-29
Christmas Day,FL,2013-12-25
New Year's Day,FL,2014-01-01
Martin Luther King Jr. Day,FL,2014-01-20
Susan B. Anthony Day,FL,2014-02-15
Memorial Day,FL,2014-05-26
Independence Day,FL,2014-07-04
Labor Day,FL,2014-09-01
Veterans Day,FL,2014-11-11
Thanksgiving,FL,2014-11-27
Friday After Thanksgiving,FL,2014-11-28
Christmas Day,FL,2014-12-25
New Year's Day,FL,2015-01-01
Martin Luther King Jr. Day,FL,2015-01-19
Susan B. Anthony Day,FL,2015-02-15
Memorial Day,FL,2015-05-25
Independence Day (Observed),FL,2015-07-03
Independence Day,FL,2015-07-04
Labor Day,FL,2015-09-07
Veterans Day,FL,2015-11-11
Thanksgiving,FL,2015-11-26
Friday After Thanksgiving,FL,2015-11-27
Christmas Day,FL,2015-12-25
New Year's Day,FL,2016-01-01
Martin Luther King Jr. Day,FL,2016-01-18
Susan B. Anthony Day,FL,2016-02-15
Memorial Day,FL,2016-05-30
Independence Day,FL,2016-07-04
Labor Day,FL,2016-09-05
Veterans Day,FL,2016-11-11
Thanksgiving,FL,2016-11-24
Friday After Thanksgiving,FL,2016-11-25
Christmas Day,FL,2016-12-25
Christmas Day (Observed),FL,2016-12-26
New Year's Day,FL,2017-01-01
New Year's Day (Observed),FL,2017-01-02
Martin Luther King Jr. Day,FL,2017-01-16
Susan B. Anthony Day,FL,2017-02-15
Memorial Day,FL,2017-05-29
Independence Day,FL,2017-07-04
Labor Day,FL,2017-09-04
Veterans Day (Observed),FL,2017-11-10
Veterans Day,FL,2017-11-11
Thanksgiving,FL,2017-11-23
Friday After Thanksgiving,FL,2017-11-24
Christmas Day,FL,2017-12-25
New Year's Day,FL,2018-01-01
Martin Luther King Jr. Day,FL,2018-01-15
Susan B. Anthony Day,FL,2018-02-15
Memorial Day,FL,2018-05-28
Independence Day,FL,2018-07-04
Labor Day,FL,2018-09-03
Veterans Day,FL,2018-11-11
Veterans Day (Observed),FL,2018-11-12
Thanksgiving,FL,2018-11-22
Friday After Thanksgiving,FL,2018-11-23
Christmas Day,FL,2018-12-25
New Year's Day,FL,2019-01-01
Martin Luther King Jr. Day,FL,2019-01-21
Susan B. Anthony Day,FL,2019-02-15
Memorial Day,FL,2019-05-27
Independence Day,FL,2019-07-04
Labor Day,FL,2019-09-02
Veterans Day,FL,2019-11-11
Thanksgiving,FL,2019-11-28
Friday After Thanksgiving,FL,2019-11-29
Christmas Day,FL,2019-12-25
New Year's Day,FL,2020-01-01
Martin Luther King Jr. Day,FL,2020-01-20
Susan B. Anthony Day,FL,2020-02-15
Memorial Day,FL,2020-05-25
Independence Day (Observed),FL,2020-07-03
Independence Day,FL,2020-07-04
Labor Day,FL,2020-09-07
Veterans Day,FL,2020-11-11
Thanksgiving,FL,2020-11-26
Friday After Thanksgiving,FL,2020-11-27
Christmas Day,FL,2020-12-25
New Year's Day,FM,2013-01-01
Martin Luther King Jr. Day,FM,2013-01-21
Washington's Birthday,FM,2013-02-18
Memorial Day,FM,2013-05-27
Independence Day,FM,2013-07-04
Labor Day,FM,2013-09-02
Columbus Day,FM,2013-10-14
Veterans Day,FM,2013-11-11
Thanksgiving,FM,2013-11-28
Christmas Day,FM,2013-12-25
New Year's Day,FM,2014-01-01
Martin Luther King Jr. Day,FM,2014-01-20
Washington's Birthday,FM,2014-02-17
Memorial Day,FM,2014-05-26
Independence Day,FM,2014-07-04
Labor Day,FM,2014-09-01
Columbus Day,FM,2014-10-13
Veterans Day,FM,2014-11-11
Thanksgiving,FM,2014-11-27
Christmas Day,FM,2014-12-25
New Year's Day,FM,2015-01-01
Martin Luther King Jr. Day,FM,2015-01-19
Washington's Birthday,FM,2015-02-16
Memorial Day,FM,2015-05-25
Independence Day (Observed),FM,2015-07-03
Independence Day,FM,2015-07-04
Labor Day,FM,2015-09-07
Columbus Day,FM,2015-10-12
Veterans Day,FM,2015-11-11
Thanksgiving,FM,2015-11-26
Christmas Day,FM,2015-12-25
New Year's Day,FM,2016-01-01
Martin Luther King Jr. Day,FM,2016-01-18
Washington's Birthday,FM,2016-02-15
Memorial Day,FM,2016-05-30
Independence Day,FM,2016-07-04
Labor Day,FM,2016-09-05
Columbus Day,FM,2016-10-10
Veterans Day,FM,2016-11-11
Thanksgiving,FM,2016-11-24
Christmas Day,FM,2016-12-25
Christmas Day (Observed),FM,2016-12-26
New Year's Day,FM,2017-01-01
New Year's Day (Observed),FM,2017-01-02
Martin Luther King Jr. Day,FM,2017-01-16
Washington's Birthday,FM,2017-02-20
Memorial Day,FM,2017-05-29
Independence Day,FM,2017-07-04
Labor Day,FM,2017-09-04
Columbus Day,FM,2017-10-09
Veterans Day (Observed),FM,2017-11-10
Veterans Day,FM,2017-11-11
Thanksgiving,FM,2017-11-23
Christmas Day,FM,2017-12-25
New Year's Day,FM,2018-01-01
Martin Luther King Jr. Day,FM,2018-01-15
Washington's Birthday,FM,2018-02-19
Memorial Day,FM,2018-05-28
Independence Day,FM,2018-07-04
Labor Day,FM,2018-09-03
Columbus Day,FM,2018-10-08
Veterans Day,FM,2018-11-11
Veterans Day (Observed),FM,2018-11-12
Thanksgiving,FM,2018-11-22
Christmas Day,FM,2018-12-25
New Year's Day,FM,2019-01-01
Martin Luther King Jr. Day,FM,2019-01-21
Washington's Birthday,FM,2019-02-18
Memorial Day,FM,2019-05-27
Independence Day,FM,2019-07-04
Labor Day,FM,2019-09-02
Columbus Day,FM,2019-10-14
Veterans Day,FM,2019-11-11
Thanksgiving,FM,2019-11-28
Christmas Day,FM,2019-12-25
New Year's Day,FM,2020-01-01
Martin Luther King Jr. Day,FM,2020-01-20
Washington's Birthday,FM,2020-02-17
Memorial Day,FM,2020-05-25
Independence Day (Observed),FM,2020-07-03
Independence Day,FM,2020-07-04
Labor Day,FM,2020-09-07
Columbus Day,FM,2020-10-12
Veterans Day,FM,2020-11-11
Thanksgiving,FM,2020-11-26
Christmas Day,FM,2020-12-25
New Year's Day,GA,2013-01-01
Martin Luther King Jr. Day,GA,2013-01-21
Confederate Memorial Day,GA,2013-04-22
Memorial Day,GA,2013-05-27
Independence Day,GA,2013-07-04
Labor Day,GA,2013-09-02
Columbus Day,GA,2013-10-14
Veterans Day,GA,2013-11-11
Thanksgiving,GA,2013-11-28
Robert E. Lee's Birthday,GA,2013-11-29
Washington's Birthday,GA,2013-12-24
Christmas Day,GA,2013-12-25
New Year's Day,GA,2014-01-01
Martin Luther King Jr. Day,GA,2014-01-20
Confederate Memorial Day,GA,2014-04-28
Memorial Day,GA,2014-05-26
Independence Day,GA,2014-07-04
Labor Day,GA,2014-09-01
Columbus Day,GA,2014-10-13
Veterans Day,GA,2014-11-11
Thanksgiving,GA,2014-11-27
Robert E. Lee's Birthday,GA,2014-11-28
Christmas Day,GA,2014-12-25
Washington's Birthday,GA,2014-12-26
New Year's Day,GA,2015-01-01
Martin Luther King Jr. Day,GA,2015-01-19
Confederate Memorial Day,GA,2015-04-27
Memorial Day,GA,2015-05-25
Independence Day (Observed),GA,2015-07-03
Independence Day,GA,2015-07-04
Labor Day,GA,2015-09-07
Columbus Day,GA,2015-10-12
Veterans Day,GA,2015-11-11
Thanksgiving,GA,2015-11-26
Robert E. Lee's Birthday,GA,2015-11-27
Washington's Birthday,GA,2015-12-24
Christmas Day,GA,2015-12-25
New Year's Day,GA,2016-01-01
Martin Luther King Jr. Day,GA,2016-01-18
State Holiday,GA,2016-04-25
Memorial Day,GA,2016-05-30
Independence Day,GA,2016-07-04
Labor Day,GA,2016-09-05
Columbus Day,GA,2016-10-10
Veterans Day,GA,2016-11-11
Thanksgiving,GA,2016-11-24
State Holiday,GA,2016-11-25
Washington's Birthday,GA,2016-12-24
Christmas Day,GA,2016-12-25
Christmas Day (Observed),GA,2016-12-26
New Year's Day,GA,2017-01-01
New Year's Day (Observed),GA,2017-01-02
Martin Luther King Jr. Day,GA,2017-01-16
State Holiday,GA,2017-04-24
Memorial Day,GA,2017-05-29
Independence Day,GA,2017-07-04
Labor Day,GA,2017-09-04
Columbus Day,GA,2017-10-09
Veterans Day (Observed),GA,2017-11-10
Veterans Day,GA,2017-11-11
Thanksgiving,GA,2017-11-23
State Holiday,GA,2017-11-24
Washington's Birthday,GA,2017-12-24
Christmas Day,GA,2017-12-25
New Year's Day,GA,2018-01-01
Martin Luther King Jr. Day,GA,2018-01-15
State Holiday,GA,2018-04-23
Memorial Day,GA,2018-05-28
Independence Day,GA,2018-07-04
Labor Day,GA,2018-09-03
Columbus Day,GA,2018-10-08
Veterans Day,GA,2018-11-11
Veterans Day (Observed),GA,2018-11-12
Thanksgiving,GA,2018-11-22
State Holiday,GA,2018-11-23
Washington's Birthday,GA,2018-12-24
Christmas Day,GA,2018-12-25
New Year's Day,GA,2019-01-01
Martin Luther King Jr. Day,GA,2019-01-21
State Holiday,GA,2019-04-22
Memorial Day,GA,2019-05-27
Independence Day,GA,2019-07-04
Labor Day,GA,2019-09-02
Columbus Day,GA,2019-10-14
Veterans Day,GA,2019-11-11
Thanksgiving,GA,2019-11-28
State Holiday,GA,2019-11-29
Washington's Birthday,GA,2019-12-24
Christmas Day,GA,2019-12-25
New Year's Day,GA,2020-01-01
Martin Luther King Jr. Day,GA,2020-01-20
State Holiday,GA,2020-04-10
Memorial Day,GA,2020-05-25
Independence Day (Observed),GA,2020-07-03
Independence Day,GA,2020-07-04
Labor Day,GA,2020-09-07
Columbus Day,GA,2020-10-12
Veterans Day,GA,2020-11-11
Thanksgiving,GA,2020-11-26
State Holiday,GA,2020-11-27
Washington's Birthday,GA,2020-12-24
Christmas Day,GA,2020-12-25
New Year's Day,GU,2013-01-01
Martin Luther King Jr. Day,GU,2013-01-21
Washington's Birthday,GU,2013-02-18
Guam Discovery Day,GU,2013-03-04
Good Friday,GU,2013-03-29
Memorial Day,GU,2013-05-27
Independence Day,GU,2013-07-04
Liberation Day (Guam),GU,2013-07-21
Labor Day,GU,2013-09-02
Columbus Day,GU,2013-10-14
All Souls' Day,GU,2013-11-02
Veterans Day,GU,2013-11-11
Thanksgiving,GU,2013-11-28
Lady of Camarin Day,GU,2013-12-08
Christmas Day,GU,2013-12-25
New Year's Day,GU,2014-01-01
Martin Luther King Jr. Day,GU,2014-01-20
Washington's Birthday,GU,2014-02-17
Guam Discovery Day,GU,2014-03-03
Good Friday,GU,2014-04-18
Memorial Day,GU,2014-05-26
Independence Day,GU,2014-07-04
Liberation Day (Guam),GU,2014-07-21
Labor Day,GU,2014-09-01
Columbus Day,GU,2014-10-13
All Souls' Day,GU,2014-11-02
Veterans Day,GU,2014-11-11
Thanksgiving,GU,2014-11-27
Lady of Camarin Day,GU,2014-12-08
Christmas Day,GU,2014-12-25
New Year's Day,GU,2015-01-01
Martin Luther King Jr. Day,GU,2015-01-19
Washington's Birthday,GU,2015-02-16
Guam Discovery Day,GU,2015-03-02
Good Friday,GU,2015-04-03
Memorial Day,GU,2015-05-25
Independence Day (Observed),GU,2015-07-03
Independence Day,GU,2015-07-04
Liberation Day (Guam),GU,2015-07-21
Labor Day,GU,2015-09-07
Columbus Day,GU,2015-10-12
All Souls' Day,GU,2015-11-02
Veterans Day,GU,2015-11-11
Thanksgiving,GU,2015-11-26
Lady of Camarin Day,GU,2015-12-08
Christmas Day,GU,2015-12-25
New Year's Day,GU,2016-01-01
Martin Luther King Jr. Day,GU,2016-01-18
Washington's Birthday,GU,2016-02-15
Guam Discovery Day,GU,2016-03-07
Good Friday,GU,2016-03-25
Memorial Day,GU,2016-05-30
Independence Day,GU,2016-07-04
Liberation Day (Guam),GU,2016-07-21
Labor Day,GU,2016-09-05
Columbus Day,GU,2016-10-10
All Souls' Day,GU,2016-11-02
Veterans Day,GU,2016-11-11
Thanksgiving,GU,2016-11-24
Lady of Camarin Day,GU,2016-12-08
Christmas Day,GU,2016-12-25
Christmas Day (Observed),GU,2016-12-26
New Year's Day,GU,2017-01-01
New Year's Day (Observed),GU,2017-01-02
Martin Luther King Jr. Day,GU,2017-01-16
Washington's Birthday,GU,2017-02-20
Guam Discovery Day,GU,2017-03-06
Good Friday,GU,2017-04-14
Memorial Day,GU,2017-05-29
Independence Day,GU,2017-07-04
Liberation Day (Guam),GU,2017-07-21
Labor Day,GU,2017-09-04
Columbus Day,GU,2017-10-09
All Souls' Day,GU,2017-11-02
Veterans Day (Observed),GU,2017-11-10
Veterans Day,GU,2017-11-11
Thanksgiving,GU,2017-11-23
Lady of Camarin Day,GU,2017-12-08
Christmas Day,GU,2017-12-25
New Year's Day,GU,2018-01-01
Martin Luther King Jr. Day,GU,2018-01-15
Washington's Birthday,GU,2018-02-19
Guam Discovery Day,GU,2018-03-05
Good Friday,GU,2018-03-30
Memorial Day,GU,2018-05-28
Independence Day,GU,2018-07-04
Liberation Day (Guam),GU,2018-07-21
Labor Day,GU,2018-09-03
Columbus Day,GU,2018-10-08
All Souls' Day,GU,2018-11-02
Veterans Day,GU,2018-11-11
Veterans Day (Observed),GU,2018-11-12
Thanksgiving,GU,2018-11-22
Lady of Camarin Day,GU,2018-12-08
Christmas Day,GU,2018-12-25
New Year's Day,GU,2019-01-01
Martin Luther King Jr. Day,GU,2019-01-21
Washington's Birthday,GU,2019-02-18
Guam Discovery Day,GU,2019-03-04
Good Friday,GU,2019-04-19
Memorial Day,GU,2019-05-27
Independence Day,GU,2019-07-04
Liberation Day (Guam),GU,2019-07-21
Labor Day,GU,2019-09-02
Columbus Day,GU,2019-10-14
All Souls' Day,GU,2019-11-02
Veterans Day,GU,2019-11-11
Thanksgiving,GU,2019-11-28
Lady of Camarin Day,GU,2019-12-08
Christmas Day,GU,2019-12-25
New Year's Day,GU,2020-01-01
Martin Luther King Jr. Day,GU,2020-01-20
Washington's Birthday,GU,2020-02-17
Guam Discovery Day,GU,2020-03-02
Good Friday,GU,2020-04-10
Memorial Day,GU,2020-05-25
Independence Day (Observed),GU,2020-07-03
Independence Day,GU,2020-07-04
Liberation Day (Guam),GU,2020-07-21
Labor Day,GU,2020-09-07
Columbus Day,GU,2020-10-12
All Souls' Day,GU,2020-11-02
Veterans Day,GU,2020-11-11
Thanksgiving,GU,2020-11-26
Lady of Camarin Day,GU,2020-12-08
Christmas Day,GU,2020-12-25
New Year's Day,HI,2013-01-01
Martin Luther King Jr. Day,HI,2013-01-21
Washington's Birthday,HI,2013-02-18
Prince Jonah Kuhio Kalanianaole Day,HI,2013-03-26
Memorial Day,HI,2013-05-27
Kamehameha Day,HI,2013-06-11
Independence Day,HI,2013-07-04
Statehood Day,HI,2013-08-16
Labor Day,HI,2013-09-02
Veterans Day,HI,2013-11-11
Thanksgiving,HI,2013-11-28
Christmas Day,HI,2013-12-25
New Year's Day,HI,2014-01-01
Martin Luther King Jr. Day,HI,2014-01-20
Washington's Birthday,HI,2014-02-17
Prince Jonah Kuhio Kalanianaole Day,HI,2014-03-26
Memorial Day,HI,2014-05-26
Kamehameha Day,HI,2014-06-11
Independence Day,HI,2014-07-04
Statehood Day,HI,2014-08-15
Labor Day,HI,2014-09-01
Election Day,HI,2014-11-04
Veterans Day,HI,2014-11-11
Thanksgiving,HI,2014-11-27
Christmas Day,HI,2014-12-25
New Year's Day,HI,2015-01-01
Martin Luther King Jr. Day,HI,2015-01-19
Washington's Birthday,HI,2015-02-16
Prince Jonah Kuhio Kalanianaole Day,HI,2015-03-26
Memorial Day,HI,2015-05-25
Kamehameha Day,HI,2015-06-11
Independence Day (Observed),HI,2015-07-03
Independence Day,HI,2015-07-04
Statehood Day,HI,2015-08-21
Labor Day,HI,2015-09-07
Veterans Day,HI,2015-11-11
Thanksgiving,HI,2015-11-26
Christmas Day,HI,2015-12-25
New Year's Day,HI,2016-01-01
Martin Luther King Jr. Day,HI,2016-01-18
Washington's Birthday,HI,2016-02-15
Prince Jonah Kuhio Kalanianaole Day (Observed),HI,2016-03-25
Prince Jonah Kuhio Kalanianaole Day,HI,2016-03-26
Memorial Day,HI,2016-05-30
Kamehameha Day (Observed),HI,2016-06-10
Kamehameha Day,HI,2016-06-11
